mission_time,metres
-19.46,559.718
-19.39,560.073
-19.32,559.895
-19.25,559.806
-19.18,559.895
-19.11,559.451
-19.04,559.806
-18.97,559.718
-18.9,559.718
-18.83,559.629
-18.76,559.718
-18.69,559.54
-18.62,559.984
-18.55,559.895
-18.48,559.806
-18.41,560.34
-18.34,559.806
-18.27,559.895
-18.2,559.984
-18.13,560.162
-18.06,559.806
-17.99,559.984
-17.92,560.34
-17.85,560.251
-17.78,560.518
-17.71,559.895
-17.64,559.895
-17.57,559.984
-17.5,559.984
-17.43,559.984
-17.36,560.251
-17.29,560.607
-17.22,560.607
-17.15,560.162
-17.08,559.895
-17.01,560.162
-16.94,560.34
-16.87,560.162
-16.8,559.718
-16.73,560.251
-16.66,559.806
-16.59,559.984
-16.52,559.895
-16.45,559.451
-16.38,559.718
-16.31,560.073
-16.24,560.162
-16.17,560.073
-16.1,560.162
-16.03,559.629
-15.96,559.895
-15.89,559.984
-15.82,560.34
-15.75,559.895
-15.68,560.34
-15.61,560.162
-15.54,559.984
-15.47,559.895
-15.4,559.895
-15.33,559.806
-15.26,559.895
-15.19,559.806
-15.12,559.806
-15.05,560.162
-14.98,559.895
-14.91,559.984
-14.84,559.806
-14.77,559.54
-14.7,559.806
-14.63,560.518
-14.56,560.34
-14.49,560.607
-14.42,560.607
-14.35,560.073
-14.28,560.251
-14.21,560.429
-14.14,560.34
-14.07,560.251
-14.0,560.162
-13.93,559.984
-13.86,560.34
-13.79,559.984
-13.72,560.34
-13.65,559.806
-13.58,560.162
-13.51,559.895
-13.44,559.806
-13.37,559.629
-13.3,559.984
-13.23,559.718
-13.16,559.806
-13.09,559.895
-13.02,559.451
-12.95,559.984
-12.88,559.629
-12.81,560.073
-12.74,560.162
-12.67,559.984
-12.6,560.073
-12.53,559.984
-12.46,559.895
-12.39,560.429
-12.32,560.785
-12.25,559.984
-12.18,559.895
-12.11,560.162
-12.04,560.696
-11.97,560.607
-11.9,560.34
-11.83,560.607
-11.76,561.051
-11.69,560.696
-11.62,560.34
-11.55,561.229
-11.48,560.785
-11.41,560.696
-11.34,560.607
-11.27,560.785
-11.2,560.962
-11.13,560.785
-11.06,560.518
-10.99,560.073
-10.92,560.429
-10.85,560.607
-10.78,560.251
-10.71,560.162
-10.64,560.696
-10.57,560.607
-10.5,560.696
-10.43,560.607
-10.36,560.518
-10.29,560.518
-10.22,560.518
-10.15,560.518
-10.08,560.429
-10.01,560.34
-9.94,559.984
-9.87,559.984
-9.8,560.785
-9.73,560.429
-9.66,560.607
-9.59,560.607
-9.52,560.251
-9.45,560.696
-9.38,560.251
-9.31,560.607
-9.24,560.429
-9.17,560.607
-9.1,560.607
-9.03,560.162
-8.96,560.429
-8.89,560.429
-8.82,560.429
-8.75,559.629
-8.68,559.984
-8.61,560.429
-8.54,560.162
-8.47,560.429
-8.4,560.251
-8.33,559.718
-8.26,560.429
