TRACKER,DATE,TIME,GS Lat,GS Lon,GS Alt asl,TRACKER Lat,TRACKER Lon,TRACKER Alt asl,FIX,HORZV,VERTV,HEAD,FLAGS,#TOT,>40,>32,>24,RSSI Down,RSSI Up,Horizontal range (ft),Alt AGL (ft),Total range (ft),LoRa Max Range (kft),LoRa Success Rate,BATT,GS_batt_v,Down Sent,Down Rcvd,Found Sent,Up Sent,Up Rccvd,Found rocket ID,Found rocket lat,Found rocket lon,Found rocket altitude,Found rocket fix,Found rocket batt_v,Found RSSI,GS_ASL_offset
ElBlastoTr2,2025-08-22,12:30:59.183,47.99017,-81.85088,1234.1,47.98684,-81.84848,1187.7,3,0,0,-98,0x01,26,1,13,4,-88,-95,1347.62,-44.393,1348.416,169.655,95%,4.080,3.705,5220,421,0,415,4776,,0.00000,0.00000,0.0,0,0.0,-50,-2.0
ElBlastoTr2,2025-08-22,12:31:00.204,47.99017,-81.85088,1234.1,47.98684,-81.84849,1187.3,3,0,0,-60,0x01,27,1,13,4,-87,-95,1347.41,-44.763,1348.228,190.327,95%,4.075,3.705,5221,422,0,416,4777,,0.00000,0.00000,0.0,0,0.0,-50,-2.0
ElBlastoTr2,2025-08-22,12:31:01.195,47.99017,-81.85088,1234.1,47.98684,-81.84849,1187.1,3,0,0,-47,0x01,26,2,12,5,-92,-95,1347.27,-45.000,1348.087,107.017,95%,4.075,3.703,5222,423,0,417,4778,,0.00000,0.00000,0.0,0,0.0,-50,-2.0
ElBlastoTr2,2025-08-22,12:31:02.183,47.99017,-81.85088,1234.1,47.98684,-81.84849,1186.9,3,0,0,-42,0x01,26,2,12,4,-89,-97,1347.16,-45.177,1347.988,151.154,95%,4.082,3.701,5223,424,0,418,4779,,0.00000,0.00000,0.0,0,0.0,-50,-2.0
ElBlastoTr2,2025-08-22,12:31:03.206,47.99017,-81.85088,1234.1,47.98684,-81.84849,1186.7,3,0,0,-49,0x01,26,2,12,6,-88,-96,1347.04,-45.423,1347.880,169.583,95%,4.082,3.705,5224,425,0,419,4780,,0.00000,0.00000,0.0,0,0.0,-50,-2.0
ElBlastoTr2,2025-08-22,12:31:04.193,47.99017,-81.85088,1234.1,47.98684,-81.84849,1186.6,3,0,0,29,0x01,26,2,11,7,-89,-96,1346.96,-45.502,1347.798,151.131,95%,4.086,3.707,5225,426,0,420,4781,,0.00000,0.00000,0.0,0,0.0,-50,-2.0
ElBlastoTr2,2025-08-22,12:31:05.184,47.99017,-81.85088,1234.1,47.98684,-81.84849,1186.4,3,0,0,-45,0x01,25,2,11,8,-89,-95,1346.88,-45.715,1347.731,151.123,95%,4.086,3.703,5226,427,0,421,4782,,0.00000,0.00000,0.0,0,0.0,-50,-2.0
ElBlastoTr2,2025-08-22,12:31:06.174,47.99017,-81.85088,1234.1,47.98684,-81.84849,1186.4,3,0,0,-83,0x01,25,2,11,8,-88,-96,1346.90,-45.659,1347.740,169.564,95%,4.086,3.705,5227,428,0,422,4783,,0.00000,0.00000,0.0,0,0.0,-50,-2.0
ElBlastoTr2,2025-08-22,12:31:07.253,47.99017,-81.85088,1234.1,47.98684,-81.84849,1186.9,3,0,0,-23,0x01,24,2,12,7,-89,-95,1347.03,-45.233,1347.862,151.140,95%,4.069,3.704,5228,429,0,423,4784,,0.00000,0.00000,0.0,0,0.0,-50,-2.0
ElBlastoTr2,2025-08-22,12:31:08.185,47.99017,-81.85088,1234.1,47.98684,-81.84849,1187.3,3,0,0,72,0x01,24,2,11,7,-92,-96,1347.19,-44.741,1348.004,107.011,95%,4.069,3.704,5229,430,0,424,4785,,0.00000,0.00000,0.0,0,0.0,-50,-2.0
