mission_time,celsius
0.0,19.55
0.07,19.54
0.14,19.54
0.21,19.55
0.28,19.55
0.35,19.54
0.42,19.55
0.49,19.55
0.56,19.55
0.63,19.55
0.7,19.55
0.77,19.55
0.84,19.55
0.91,19.55
0.98,19.55
1.05,19.55
1.12,19.55
1.19,19.55
1.26,19.56
1.33,19.55
1.4,19.55
1.47,19.55
1.54,19.55
1.61,19.55
1.68,19.55
1.75,19.55
1.82,19.56
1.89,19.55
1.96,19.55
2.03,19.56
2.1,19.55
2.17,19.55
2.24,19.55
2.31,19.55
2.38,19.56
2.45,19.55
2.52,19.56
2.59,19.56
2.66,19.56
2.73,19.55
2.8,19.56
2.87,19.55
2.94,19.56
3.01,19.56
3.08,19.56
3.15,19.56
3.22,19.56
3.29,19.56
3.36,19.56
3.43,19.56
3.5,19.56
3.57,19.56
3.64,19.56
3.71,19.56
3.78,19.56
3.85,19.56
3.92,19.56
3.99,19.56
4.06,19.56
4.13,19.56
4.2,19.56
4.27,19.56
4.34,19.56
4.41,19.56
4.48,19.56
4.55,19.56
4.62,19.56
4.69,19.56
4.76,19.56
4.83,19.56
4.9,19.57
4.97,19.56
5.04,19.56
5.11,19.57
5.18,19.56
5.25,19.57
5.32,19.56
5.39,19.56
5.46,19.57
5.53,19.57
5.6,19.56
5.67,19.56
5.74,19.57
5.81,19.57
5.88,19.57
5.95,19.57
6.02,19.57
6.09,19.57
6.16,19.57
6.23,19.57
6.3,19.57
6.37,19.57
6.44,19.57
6.51,19.57
6.58,19.57
6.65,19.57
6.72,19.57
6.79,19.57
6.86,19.57
6.93,19.57
7.0,19.57
7.07,19.57
7.14,19.57
7.21,19.57
7.28,19.57
7.35,19.57
7.42,19.57
7.49,19.57
7.56,19.57
7.63,19.57
7.7,19.57
7.77,19.57
7.84,19.57
7.91,19.57
7.98,19.57
8.05,19.57
8.12,19.57
8.19,19.57
8.26,19.57
8.33,19.57
8.4,19.57
8.47,19.57
8.54,19.57
8.61,19.57
8.68,19.57
8.75,19.57
8.82,19.57
8.89,19.57
8.96,19.57
9.03,19.57
9.1,19.57
9.17,19.57
9.24,19.57
9.31,19.57
9.38,19.57
9.45,19.57
9.52,19.58
9.59,19.57
9.66,19.58
9.73,19.57
9.8,19.58
9.87,19.58
9.94,19.58
10.01,19.58
10.08,19.57
10.15,19.58
10.22,19.58
10.29,19.58
10.36,19.58
10.43,19.58
10.5,19.58
10.57,19.58
10.64,19.58
10.71,19.58
10.78,19.58
10.85,19.58
10.92,19.58
10.99,19.58
11.06,19.58
11.13,19.58
11.2,19.58
11.27,19.58
11.34,19.58
11.41,19.58
11.48,19.58
11.55,19.58
11.62,19.58
11.69,19.58
11.76,19.58
11.83,19.58
11.9,19.58
11.97,19.58
12.04,19.58
12.11,19.58
12.18,19.58
12.25,19.58
12.32,19.58
12.39,19.58
12.46,19.58
12.53,19.58
12.6,19.59
12.67,19.58
12.74,19.58
12.81,19.58
12.88,19.58
12.95,19.59
13.02,19.59
13.09,19.58
13.16,19.58
13.23,19.59
13.3,19.59
13.37,19.59
13.44,19.59
13.51,19.59
13.58,19.59
13.65,19.59
13.72,19.59
13.79,19.59
13.86,19.59
13.93,19.59
14.0,19.59
14.07,19.59
14.14,19.59
14.21,19.59
14.28,19.59
14.35,19.59
14.42,19.59
14.49,19.59
14.56,19.59
14.63,19.59
14.7,19.59
14.77,19.59
14.84,19.59
14.91,19.59
14.98,19.59
15.05,19.59
15.12,19.6
15.19,19.6
15.26,19.6
15.33,19.59
15.4,19.6
15.47,19.6
15.54,19.6
15.61,19.6
15.68,19.6
15.75,19.6
15.82,19.6
15.89,19.6
15.96,19.6
16.03,19.6
16.1,19.6
16.17,19.6
16.24,19.6
16.31,19.6
16.38,19.6
16.45,19.6
16.52,19.6
16.59,19.6
16.66,19.6
16.73,19.6
16.8,19.6
16.87,19.6
16.94,19.6
17.01,19.6
17.08,19.6
17.15,19.6
17.22,19.6
17.29,19.6
17.36,19.6
17.43,19.6
17.5,19.6
17.57,19.6
17.64,19.6
17.71,19.6
17.78,19.6
17.85,19.6
17.92,19.6
17.99,19.6
18.06,19.6
18.13,19.6
18.2,19.6
18.27,19.6
18.34,19.6
18.41,19.6
18.48,19.6
18.55,19.6
18.62,19.61
18.69,19.61
18.76,19.6
18.83,19.6
18.9,19.61
18.97,19.61
19.04,19.61
19.11,19.61
19.18,19.6
19.25,19.61
19.32,19.6
19.39,19.61
19.46,19.61
19.53,19.61
19.6,19.61
19.67,19.61
19.74,19.61
19.81,19.61
19.88,19.61
19.95,19.61
20.02,19.61
20.09,19.61
20.16,19.61
20.23,19.61
20.3,19.61
20.37,19.61
20.44,19.61
20.51,19.61
20.58,19.61
20.65,19.6
20.72,19.6
20.79,19.6
20.86,19.59
20.93,19.59
21.0,19.59
21.07,19.59
21.14,19.58
21.21,19.58
21.28,19.57
21.35,19.57
21.42,19.57
21.49,19.56
21.56,19.56
21.63,19.56
21.7,19.55
21.77,19.55
21.84,19.55
21.91,19.55
21.98,19.54
22.05,19.54
22.12,19.53
22.19,19.54
22.26,19.53
22.33,19.53
22.4,19.53
22.47,19.53
22.54,19.53
22.61,19.53
22.68,19.53
22.75,19.53
22.82,19.53
22.89,19.53
22.96,19.53
23.03,19.53
23.1,19.53
23.17,19.53
23.24,19.53
23.31,19.53
23.38,19.53
23.45,19.53
23.52,19.53
23.59,19.52
23.66,19.52
23.73,19.52
23.8,19.51
23.87,19.51
23.94,19.51
24.01,19.51
24.08,19.5
24.15,19.49
24.22,19.48
24.29,19.48
24.36,19.48
24.43,19.48
24.5,19.48
24.57,19.48
24.64,19.47
24.71,19.47
24.78,19.45
24.85,19.44
24.92,19.46
24.99,19.46
25.06,19.47
25.13,19.46
25.2,19.47
25.27,19.46
25.34,19.44
25.41,19.43
25.48,19.44
25.55,19.46
25.62,19.47
25.69,19.47
25.76,19.47
25.83,19.46
25.9,19.43
25.97,19.41
26.04,19.43
26.11,19.46
26.18,19.46
26.25,19.46
26.32,19.46
26.39,19.44
26.46,19.42
26.53,19.44
26.6,19.47
26.67,19.46
26.74,19.46
26.81,19.46
26.88,19.42
26.95,19.44
27.02,19.46
27.09,19.47
27.16,19.47
27.23,19.45
27.3,19.42
27.37,19.46
27.44,19.48
27.51,19.48
27.58,19.46
27.65,19.43
27.72,19.46
27.79,19.48
27.86,19.48
27.93,19.46
28.0,19.44
28.07,19.46
28.14,19.48
28.21,19.48
28.28,19.46
28.35,19.45
28.42,19.48
28.49,19.49
28.56,19.48
28.63,19.45
28.7,19.47
28.77,19.49
28.84,19.49
28.91,19.46
28.98,19.46
29.05,19.49
29.12,19.49
29.19,19.49
29.26,19.47
29.33,19.49
29.4,19.5
29.47,19.5
29.54,19.47
29.61,19.47
29.68,19.5
29.75,19.51
29.82,19.5
29.89,19.46
29.96,19.49
30.03,19.51
30.1,19.51
30.17,19.49
30.24,19.47
30.31,19.51
30.38,19.51
30.45,19.51
30.52,19.48
30.59,19.49
30.66,19.51
30.73,19.52
30.8,19.51
30.87,19.48
30.94,19.5
31.01,19.52
31.08,19.53
31.15,19.52
31.22,19.48
31.29,19.5
31.36,19.52
31.43,19.52
31.5,19.52
31.57,19.49
31.64,19.48
31.71,19.52
31.78,19.52
31.85,19.53
31.92,19.5
31.99,19.47
32.06,19.52
32.13,19.53
32.2,19.54
32.27,19.5
32.34,19.48
32.41,19.54
32.48,19.55
32.55,19.51
32.62,19.47
32.69,19.53
32.76,19.56
32.83,19.56
32.9,19.52
32.97,19.48
33.04,19.53
33.11,19.56
33.18,19.57
33.25,19.53
33.32,19.47
33.39,19.53
33.46,19.57
33.53,19.58
33.6,19.56
33.67,19.49
33.74,19.51
33.81,19.58
33.88,19.58
33.95,19.58
34.02,19.52
34.09,19.5
34.16,19.56
34.23,19.59
34.3,19.59
34.37,19.58
34.44,19.51
34.51,19.52
34.58,19.59
34.65,19.6
34.72,19.6
34.79,19.58
34.86,19.51
34.93,19.53
35.0,19.6
35.07,19.6
35.14,19.61
35.21,19.59
35.28,19.52
35.35,19.53
35.42,19.6
35.49,19.61
35.56,19.62
35.63,19.61
35.7,19.55
35.77,19.52
35.84,19.59
35.91,19.62
35.98,19.62
36.05,19.62
36.12,19.59
36.19,19.52
36.26,19.55
36.33,19.62
36.4,19.62
36.47,19.62
36.54,19.62
36.61,19.57
36.68,19.52
36.75,19.58
36.82,19.63
36.89,19.63
36.96,19.63
37.03,19.62
37.1,19.58
37.17,19.54
37.24,19.59
37.31,19.64
37.38,19.64
37.45,19.64
37.52,19.64
37.59,19.6
37.66,19.56
37.73,19.6
37.8,19.65
37.87,19.65
37.94,19.65
38.01,19.65
38.08,19.61
38.15,19.57
38.22,19.61
38.29,19.66
38.36,19.66
38.43,19.67
38.5,19.66
38.57,19.61
38.64,19.59
38.71,19.63
38.78,19.67
38.85,19.67
38.92,19.68
38.99,19.66
39.06,19.61
39.13,19.61
39.2,19.67
39.27,19.68
39.34,19.69
39.41,19.68
39.48,19.62
39.55,19.62
39.62,19.67
39.69,19.69
39.76,19.71
39.83,19.69
39.9,19.64
39.97,19.62
40.04,19.67
40.11,19.71
40.18,19.72
40.25,19.71
40.32,19.67
40.39,19.63
40.46,19.66
40.53,19.72
40.6,19.72
40.67,19.72
40.74,19.7
40.81,19.63
40.88,19.64
40.95,19.71
41.02,19.73
41.09,19.73
41.16,19.73
41.23,19.67
41.3,19.63
41.37,19.68
41.44,19.73
41.51,19.73
41.58,19.74
41.65,19.73
41.72,19.66
41.79,19.64
41.86,19.69
41.93,19.74
42.0,19.74
42.07,19.74
42.14,19.73
42.21,19.66
42.28,19.65
42.35,19.71
42.42,19.74
42.49,19.75
42.56,19.75
42.63,19.74
42.7,19.67
42.77,19.65
42.84,19.71
42.91,19.75
42.98,19.75
43.05,19.76
43.12,19.76
43.19,19.72
43.26,19.66
43.33,19.68
43.4,19.75
43.47,19.76
43.54,19.77
43.61,19.77
43.68,19.76
43.75,19.71
43.82,19.67
43.89,19.72
43.96,19.77
44.03,19.78
44.1,19.78
44.17,19.78
44.24,19.77
44.31,19.72
44.38,19.68
44.45,19.72
44.52,19.77
44.59,19.78
44.66,19.78
44.73,19.78
44.8,19.78
44.87,19.75
44.94,19.7
45.01,19.71
45.08,19.76
45.15,19.78
45.22,19.78
45.29,19.79
45.36,19.79
45.43,19.78
45.5,19.74
45.57,19.72
45.64,19.74
45.71,19.78
45.78,19.8
45.85,19.8
45.92,19.8
45.99,19.81
46.06,19.79
46.13,19.76
46.2,19.73
46.27,19.74
46.34,19.78
46.41,19.81
46.48,19.81
46.55,19.81
46.62,19.82
46.69,19.81
46.76,19.79
46.83,19.75
46.9,19.73
46.97,19.76
47.04,19.79
47.11,19.82
47.18,19.82
47.25,19.83
47.32,19.83
47.39,19.83
47.46,19.8
47.53,19.76
47.6,19.74
47.67,19.75
47.74,19.79
47.81,19.83
47.88,19.83
47.95,19.83
48.02,19.84
48.09,19.84
48.16,19.83
48.23,19.8
48.3,19.77
48.37,19.75
48.44,19.77
48.51,19.81
48.58,19.83
48.65,19.84
48.72,19.84
48.79,19.85
48.86,19.86
48.93,19.85
49.0,19.82
49.07,19.78
49.14,19.77
49.21,19.77
49.28,19.79
49.35,19.83
49.42,19.85
49.49,19.87
49.56,19.87
49.63,19.87
49.7,19.88
49.77,19.87
49.84,19.84
49.91,19.8
49.98,19.77
50.05,19.77
50.12,19.78
50.19,19.83
50.26,19.87
50.33,19.87
50.4,19.88
50.47,19.89
